Region,Algoritmo,RMSE,R2
1,RF50,31.45341436451396,0.7299876823738056
1,RF50,32.31687633717354,0.7149593913565518
1,RF50,35.24748371242967,0.6609184021900322
1,RF50,30.816848869074292,0.7408063002116059
1,RF50,29.45386503077925,0.7632267863854295
1,RF50,36.00795867177419,0.6461289889857753
1,RF50,37.538907223786936,0.6153982679090404
1,RF50,32.00393719609504,0.7204530212664046
1,RF50,30.576097711483477,0.7448402904776852
1,RF50,37.15338581843323,0.6232573581001093
1,RF50,35.92509332836652,0.6477558460800178
1,RF50,35.248858962530456,0.6608919417991229
1,RF50,34.25618230637367,0.6797228860895705
1,RF50,38.89138704029764,0.5871855901602783
1,RF50,33.398117581218706,0.6955668351214507
1,RF50,33.37815794909522,0.6959306016276572
1,RF50,33.4762410853063,0.6941409342692861
1,RF50,36.09723965271766,0.6443719819002178
1,RF50,34.04096553968045,0.6837345695127323
1,RF50,35.47197298569694,0.6565854640032709
1,RF50,29.711230070373652,0.7590709053898713
1,RF50,37.41282588204055,0.6179774409775061
1,RF50,28.657685299058475,0.7758544081047662
1,RF50,35.492295845208474,0.656191848195711
1,RF50,33.66029728899612,0.6907683920985681
1,RF50,32.41821814937506,0.713168882653753
1,RF50,36.111722525568425,0.644086555720357
1,RF50,33.36876641530609,0.6961016881379256
1,RF50,36.349094894301956,0.639392141837846
1,RF50,36.32062914340212,0.639956720082947
2,RF50,25.024337450150934,0.8607194547329706
2,RF50,30.28224481909919,0.7960416851334253
2,RF50,26.260124997328884,0.8466234867394575
2,RF50,26.91106988122631,0.8389253446886922
2,RF50,27.136160042980123,0.8362195475327939
2,RF50,27.289680407678,0.83436115941376
2,RF50,26.88296066815242,0.8392616610963693
2,RF50,30.219459601858,0.7968865559197641
2,RF50,24.428358511085023,0.867274658074236
2,RF50,28.549262249458412,0.8187178419133772
2,RF50,26.196507137147748,0.8473657274042888
2,RF50,26.617660172038946,0.8424185708472479
2,RF50,26.33874299856162,0.8457037496961117
2,RF50,27.210361527748283,0.8353226359538586
2,RF50,27.21178880566575,0.8353053597019932
2,RF50,23.349957482679493,0.8787344416139388
2,RF50,26.895267380467033,0.839114459059445
2,RF50,25.596272479198262,0.8542801444447908
2,RF50,27.985702300888835,0.8258041907553523
2,RF50,26.18338902039639,0.8475185548686556
2,RF50,29.1346815823531,0.8112070230480355
2,RF50,27.139118104378454,0.8361838387929281
2,RF50,30.209378557119432,0.7970220483614187
2,RF50,26.019861023614993,0.849417248708109
2,RF50,27.22572279224564,0.8351366504361806
2,RF50,25.020599480249185,0.8607610612373007
2,RF50,24.55007735455373,0.8659487054364892
2,RF50,26.24961967409008,0.8467461782770016
2,RF50,25.816651270171494,0.8517601047549974
2,RF50,26.633189187947995,0.8422346479681094
3,RF50,25.7460320062033,0.7908111432568143
3,RF50,32.156307741807424,0.6736750430534857
3,RF50,32.33103531380717,0.67011910765229
3,RF50,30.529666423613907,0.7058546041043867
3,RF50,30.098977117885184,0.7140952238904288
3,RF50,28.854003203019275,0.7372576450589028
3,RF50,27.112783265160303,0.7680116683743627
3,RF50,28.56840857487572,0.7424331103500657
3,RF50,33.44659304709794,0.6469617928910485
3,RF50,28.932757976580536,0.7358214177580626
3,RF50,30.120162943472405,0.7136926015409072
3,RF50,32.775512932485206,0.6609865482639897
3,RF50,29.622762479109724,0.7230706097380262
3,RF50,31.232558606979968,0.6921543196645008
3,RF50,33.36409334698564,0.6487012600763771
3,RF50,28.72381129941817,0.7396233310063688
3,RF50,29.46130302962292,0.7260812008501589
3,RF50,27.919053614127304,0.7540089409607567
3,RF50,29.633986663886674,0.7228607106427845
3,RF50,31.601199482363295,0.68484436874267
3,RF50,27.793188339612133,0.7562219057288095
3,RF50,28.74035649471538,0.7393232856179299
3,RF50,28.2515698790818,0.7481145345713647
3,RF50,27.457104576342594,0.7620819386137343
3,RF50,29.341214281959935,0.7283097189774501
3,RF50,29.39192290647064,0.7273698161282437
3,RF50,27.161257993342506,0.7671813866478141
3,RF50,30.527543240857508,0.7058955153090838
3,RF50,28.075567969742334,0.751243155888188
3,RF50,31.154746187270028,0.6936863348901019
1,RF100,35.20847564565455,0.6616685038803127
1,RF100,35.42173447989458,0.6575575224688874
1,RF100,34.073719868270665,0.683125653435928
1,RF100,34.73657371348816,0.670677091779478
1,RF100,33.36145163270602,0.6962349089114586
1,RF100,36.93336408601763,0.627706273087525
1,RF100,38.75420922670199,0.5900926146464812
