Estacion,precEne,precFeb,precMar,precAbr,precMay,precJun,precJul,precAgo,precSep,precOct,precNov,precDic,evaEne,evaFeb,evaMar,evaAbr,evaMay,evaJun,evaJul,evaAgo,evaSep,evaOct,evaNov,evaDic,tempMaxEne,tempMaxFeb,tempMaxMar,tempMaxAbr,tempMaxMay,tempMaxJun,tempMaxJul,tempMaxAgo,tempMaxSep,tempMaxOct,tempMaxNov,tempMaxDic,tempMinEne,tempMinFeb,tempMinMar,tempMinAbr,tempMinMay,tempMinJun,tempMinJul,tempMinAgo,tempMinSep,tempMinOct,tempMinNov,tempMinDic,Latitud,Longitud,Grupo
EstacionElOcoteCalvillo,20.272,14.267,5.97,4.0473,15.755,110.93,174.95,146.49,100.58,43.455,15.321,13.692,115.61,133.17,182.12,205.97,221.27,179.72,140.16,136.54,123.54,121.02,109.45,106.37,19.335,21.243,23.892,26.353,27.913,26.193,23.763,23.45,22.529,22.672,21.258,19.586,4.7508,5.6322,7.4895,9.5367,11.281,11.905,11.21,11.134,10.687,9.0136,6.7551,5.2037,21.89,-102.832,2
EstacionElTule,17.411,10.122,5.0531,5.9239,18.095,73.178,121.24,96.333,83.5,33.572,9.3139,10.534,96.602,101.75,133.98,154.73,149.07,148.76,146.48,130.65,116.83,118.74,96.173,89.751,23.462,25.827,28.709,31.202,32.72,30.845,28.634,28.461,27.47,27.092,25.539,23.735,2.1985,3.2835,5.6323,8.1919,11.161,13.801,13.338,13.029,12.424,9.2339,5.0396,2.9772,22.083,-102.091,3
EstacionJesusMaria,16.442,11.702,4.7119,5.4634,18.686,88.275,139.15,103.8,78.409,32.857,9.8225,14.157,113.37,140.32,206.75,236.78,247.86,210.83,171.89,164.88,141.47,136.73,116.66,104.84,22.177,24.402,26.848,29.398,30.62,29.654,27.187,27.19,26.445,26.07,24.509,22.72,2.4476,3.7858,5.8273,8.6202,11.389,13.811,13.282,12.975,12.187,9.1941,5.3269,2.7133,21.962,-102.345,3
EstacionJesusTeran,17.372,11.805,4.9729,11.63,21.954,88.311,109.89,101.11,82.823,35.486,8.5342,9.4638,117.41,139.7,188.66,220.99,230.9,191.37,163.53,159.54,138.8,136.16,119.87,110.67,22.099,23.455,26.273,28.141,29.418,28.502,26.552,26.634,25.97,25.633,23.923,22.215,3.5113,4.3508,5.758,7.5441,10.027,12.317,11.579,11.677,11.161,8.8411,5.6383,3.1339,21.976,-102.062,3
EstacionLaLabor,17.645,9.9955,3.2729,3.8347,13.461,83.302,145.67,126.31,88.573,35.783,12.748,12.36,136.17,154.55,220.29,246.65,252.94,203.88,177.59,172.3,147.15,154.67,138.05,128.9,24.82,26.687,29.593,31.705,33.245,31.608,29.225,29.256,28.557,28.686,27.399,24.948,4.9901,6.235,7.923,10.351,13.067,15.534,14.957,14.861,14.306,11.336,7.8559,5.4045,21.964,-102.697,2
EstacionLaPostaUAA,18.175,14.183,10.551,4.2322,16.596,81.481,132.38,100.99,81.112,28.775,8.8937,12.16,137.96,159.7,228.45,261.6,268.49,214.37,182.8,163.63,146.09,148.43,137.4,125.22,22.064,24.216,26.836,29.279,30.524,29.058,26.958,26.754,26.13,25.707,24.004,22.633,3.0467,4.4961,6.4873,9.3746,11.749,13.941,13.41,13.015,12.474,9.676,5.8192,3.5494,21.972,-102.362,3
EstacionLasFraguas,15.302,10.975,3.2574,6.5,21.88,82.702,107.75,94.018,75.522,27.8,8.9978,10.802,120.14,140.92,200.88,211.96,221.98,191.46,170.94,166.62,140.6,142.6,118.87,108.37,21.612,23.545,26.149,28.301,30.058,28.844,26.869,26.672,25.752,25.579,24.163,22.174,3.1619,4.0104,5.7508,8.3214,10.743,12.287,12.022,11.76,11.341,9.0957,5.9159,3.8793,22.039,-101.893,3
EstacionLasPresas,15.165,9.8029,5.3542,7.1882,19.902,87.291,112.85,100,88.197,30.931,12.397,7.6257,127.86,160.12,226.93,257.71,274.78,211.28,178.91,171.74,145.55,146.8,132.65,122.88,20.92,22.719,25.291,27.826,29.469,27.838,25.434,25.434,24.409,24.234,23.082,21.348,2.5576,3.9573,5.5483,7.9713,10.957,13.355,12.975,12.677,12.196,9.2318,5.7314,3.4746,21.909,-102.087,3
EstacionLaTinaja,15.297,11.681,5.0181,6.1441,20.608,82.672,126.54,115.64,93.375,32.8,11.204,10.093,117.87,141.93,203.89,221.93,239.29,202.91,172.99,166.48,141.57,138.98,121.41,108.96,22.604,24.533,27.912,30.44,31.717,30.058,27.673,27.371,26.501,26.478,25.058,23.288,3.227,4.2609,6.011,8.7477,11.482,13.377,12.984,12.664,12.022,8.9397,5.5269,3.8895,21.809,-102.13,3
EstacionLaTinajaSanJose,23.043,17.405,9.2847,8.1155,29.941,106.01,152.96,130.68,111.48,48.55,15.249,16.8,116.38,133.16,197.72,215.58,221.88,176.34,151.11,140.21,124.27,129.78,115.09,107.19,19.239,20.956,22.93,25.367,26.944,25.86,23.333,23.049,22.334,21.781,21.069,19.557,2.0794,3.0194,5.4911,8.064,10.042,10.248,9.4933,9.5558,8.8585,6.8067,4.3675,2.986,22.164,-102.554,2
